model_name,base_clock,turbo_clock,NBS_score
AMD A8-3500M,GHz,GHz,0 / 10
AMD A4-3305MX,GHz,GHz,0 / 10
Intel Core i7-3610QM,GHz,GHz,0 / 10
Intel Core i5-3210M,GHz,GHz,0 / 10
AMD A6-4400M,GHz,GHz,0 / 10
Intel Core i7-3720QM,GHz,GHz,0 / 10
AMD A8-4500M,GHz,GHz,0 / 10
Intel Core i5-4200M,GHz,GHz,0 / 10
Intel Core M-5Y70,GHz,GHz,0 / 10
Intel Core M-5Y70,GHz,GHz,0 / 10
Intel Atom Z3735F,GHz,GHz,0 / 10
AMD Athlon Silver 3050e,GHz,GHz,0 / 10
Intel Core i7-11370H,GHz,GHz,0 / 10
AMD Ryzen 5 PRO 4650U,GHz,GHz,0 / 10
Intel Core i5-10310U,GHz,GHz,0 / 10
Intel Core i7-11370H,GHz,GHz,0 / 10
Intel Core i7-3612QM,GHz,GHz,0 / 10
Intel Core i5-4200M,GHz,GHz,0 / 10
Intel? Celeron? Processor 2955U,GHz,GHz,0 / 10
IntelÂ® Core i5-6300U Processor,GHz,GHz,0 / 10
AMD Ryzen PRO 5 2500U,GHz,GHz,0 / 10
Intel Core i9-13980HX,2.20 GHz,5.60 GHz,10 / 10
Intel Core i9-13950HX,1.60 GHz,5.50 GHz,9.81 / 10
Intel Core i9-13900HX,2.20 GHz,5.40 GHz,9.2 / 10
Intel Core i9-13900HK,2.60 GHz,5.40 GHz,7.72 / 10
Intel Core i9-13900H,2.60 GHz,5.40 GHz,7.48 / 10
Intel Core i9-12900HX,3.6 GHz,5 GHz,7.18 / 10
Intel Core i7-12800HX,3.4 GHz,4.8 GHz,6.81 / 10
Intel Core i7-13800H,2.50 GHz,5.20 GHz,6.48 / 10
Intel Core i7-13700H,2.40 GHz,5.00 GHz,6.03 / 10
Intel Core i9-12950HX,3.6 GHz,5 GHz,5.92 / 10
Intel Core i9-12900HK,3.8 GHz,5 GHz,5.71 / 10
Intel Core i9-12900H,3.8 GHz,5 GHz,5.47 / 10
Intel Core i7-12700H,3.5 GHz,4.7 GHz,5.22 / 10
AMD Ryzen 9 6900HX,3.3 GHz,4.9 GHz,4.61 / 10
AMD Ryzen 9 6900HS,3.3 GHz,4.9 GHz,4.52 / 10
Intel Core i7-12800H,3.7 GHz,4.8 GHz,4.47 / 10
AMD Ryzen 7 6800H,3.2 GHz,4.7 GHz,4.38 / 10
Intel Core i9-11900H,2.5 GHz,4.9 GHz,4.36 / 10
AMD Ryzen 9 5980HX,3.3 GHz,4.8 GHz,4.33 / 10
Intel Core i9-11980HK,2.6 GHz,5 GHz,4.33 / 10
Intel Core i7-1280P,1.3 GHz,4.8 GHz,4.25 / 10
AMD Ryzen 9 5900HX,3.3 GHz,4.6 GHz,4.22 / 10
Intel Core i5-12500H,3.3 GHz,4.5 GHz,4.21 / 10
AMD Ryzen 9 5980HS,3 GHz,4.8 GHz,4.19 / 10
Apple M2 Max,2.42 GHz,3.48 GHz,4.17 / 10
Apple M2 Pro 12 Core,2.42 GHz,3.48 GHz,4.16 / 10
AMD Ryzen 9 5900HS,3.3 GHz,4.6 GHz,4.11 / 10
AMD Ryzen 7 5800H,3.2 GHz,4.4 GHz,4.04 / 10
AMD Ryzen 7 6800HS,3.2 GHz,4.7 GHz,4 / 10
Intel Core i7-11800H,2.3 GHz,4.6 GHz,3.9 / 10
AMD Ryzen 9 4900H,3.3 GHz,4.4 GHz,3.88 / 10
AMD Ryzen 9 4900HS,3 GHz,4.3 GHz,3.75 / 10
Intel Core i7-12650H,3.5 GHz,4.7 GHz,3.75 / 10
AMD Ryzen 7 4800H,2.9 GHz,4.2 GHz,3.73 / 10
Intel Core i5-12450H,3.3 GHz,4.4 GHz,3.61 / 10
Intel Core i7-1260P,2.20 GHz,5.00 GHz,3.5 / 10
Intel Core i9-10980HK,2.4 GHz,5.3 GHz,3.49 / 10
Intel Core i7-11600H,2.9 GHz,4.6 GHz,3.49 / 10
AMD Ryzen 7 4800HS,2.90 GHz,4.20 GHz,3.42 / 10
Intel Core i7-1270P,1.6 GHz,4.8 GHz,3.41 / 10
Intel Core i7-1370P,1.90 GHz,5.20 GHz,3.41 / 10
Apple M1 Pro 10-Core,2.1 GHz,3.4 GHz,3.4 / 10
Apple M1 Max,2.1 GHz,4 GHz,3.4 / 10
AMD Ryzen 5 6600H,3.3 GHz,4.5 GHz,3.39 / 10
Intel Core i7-10870H,2.2 GHz,5 GHz,3.34 / 10
AMD Ryzen 7 4980U,2 GHz,4.4 GHz,3.34 / 10
AMD Ryzen 5 6600HS,3.3 GHz,4.5 GHz,3.33 / 10
AMD Ryzen 7 7735HS,3.20 GHz,4.75 GHz,3.33 / 10
AMD Ryzen 5 7535HS,3.30 GHz,4.55 GHz,3.27 / 10
Intel Core i9-9980HK,2.4 GHz,5 GHz,3.27 / 10
AMD Ryzen 7 5800U,1.9 GHz,4.4 GHz,3.25 / 10
Intel Core i7-10875H,2.3 GHz,5.1 GHz,3.21 / 10
Apple M2 Pro 10 Core,2.42 GHz,3.48 GHz,3.19 / 10
AMD Ryzen 5 5600H,3.30 GHz,4.20 GHz,3.16 / 10
Intel Core i5-1350P,1.90 GHz,4.70 GHz,3.07 / 10
Intel Core i9-9880H,2.3 GHz,4.8 GHz,3.03 / 10
AMD Ryzen 7 4800U,1.8 GHz,4.2 GHz,3 / 10
AMD Ryzen 7 PRO 5850U,1.9 GHz,4.4 GHz,2.97 / 10
Intel Core i5-1240P,1.2 GHz,4.4 GHz,2.82 / 10
Intel Core i5-1340P,1.90 GHz,4.60 GHz,2.82 / 10
Apple M1 Pro 8-Core,2.1 GHz,3.4 GHz,2.66 / 10
Intel Core i7-10750H,2.6 GHz,5 GHz,2.62 / 10
Intel Core i5-10500H,2.5 GHz,4.5 GHz,2.51 / 10
Intel Core i5-11400H,2.7 GHz,4.5 GHz,2.51 / 10
Intel Core i7-10850H,2.7 GHz,5.1 GHz,2.48 / 10
Intel Core i7-9750H,2.6 GHz,4.5 GHz,2.39 / 10
Apple M1,2.06 GHz,3.2 GHz,2.16 / 10
Intel Core i5-11300H,3.1 GHz,4.4 GHz,1.93 / 10
Intel Core i7-11370H,3.3 GHz,4.8 GHz,1.9 / 10
Intel Core i7-1195G7,2.9 GHz,5 GHz,1.9 / 10
Intel Core i7-11375H,3.3 GHz,5 GHz,1.87 / 10
Intel Core i5-10300H,2.5 GHz,4.5 GHz,1.79 / 10
Intel Core i7-1185G7,3 GHz,4.8 GHz,1.75 / 10
Intel Core i7-1165G7,2.8 GHz,4.7 GHz,1.71 / 10
Intel Core i5-9300H,2.4 GHz,4.1 GHz,1.59 / 10
Intel Core i3-1115G4,3 GHz,4.1 GHz,0.99 / 10
Intel Core i9-10900K,3.7 GHz,5.3 GHz,0.06 / 10
Intel Core i7-12850HX,3.4 GHz,4.8 GHz,0.05 / 10
Intel Core i7-12650HX,3.3 GHz,4.7 GHz,0.05 / 10
Intel Core i5-12600HX,3.3 GHz,4.6 GHz,0.05 / 10
Intel Core i5-12450HX,3.1 GHz,4.4 GHz,0.05 / 10
AMD Ryzen 7 5800HS,2.8 GHz,4.4 GHz,0.05 / 10
Intel Core i5-12600H,2 GHz,4.5 GHz,0.05 / 10
AMD Ryzen 9 6980HX,3.3 GHz,5 GHz,0.05 / 10
Intel Core i9-9900K,3.6 GHz,5 GHz,0.04 / 10
AMD Ryzen 5 4600HS,3 GHz,4 GHz,0.04 / 10
Intel Xeon W-10885M,2.4 GHz,5.3 GHz,0.04 / 10
AMD Ryzen 9 6980HS,3.3 GHz,5 GHz,0.04 / 10
AMD Ryzen 7 1700,3 GHz,3.7 GHz,0.03 / 10
Intel Core i7-8750H,2.2 GHz,4.1 GHz,0.03 / 10
Intel Core i7-8850H,2.6 GHz,4.3 GHz,0.03 / 10
Intel Core i9-8950HK,2.9 GHz,4.8 GHz,0.03 / 10
AMD Ryzen 7 2700,3.2 GHz,4.1 GHz,0.03 / 10
Intel Core i7-9750HF,2.6 GHz,4.5 GHz,0.03 / 10
Intel Core i7-10700K,3.8 GHz,5.1 GHz,0.03 / 10
Intel Xeon E-2276M,2.8 GHz,4.7 GHz,0.03 / 10
Intel Core i5-10200H,2.4 GHz,4.1 GHz,0.03 / 10
Intel Core i7-5950HQ,2.9 GHz,3.8 GHz,0.02 / 10
Intel Core i7-4980HQ,2.8 GHz,4 GHz,0.02 / 10
Intel Core i7-6700HQ,2.6 GHz,3.5 GHz,0.02 / 10
Intel Core i7-6820HK,2.7 GHz,3.6 GHz,0.02 / 10
Xeon E3-1505M v5,2.8 GHz,3.7 GHz,0.02 / 10
Intel Core i7-6700K Processor,4 GHz,4.2 GHz,0.02 / 10
Intel Core i7-7700HQ,2.8 GHz,3.8 GHz,0.02 / 10
Intel Core i7-7820HK,2.9 GHz,3.9 GHz,0.02 / 10
Intel Core i7-7820HQ,2.9 GHz,3.9 GHz,0.02 / 10
Intel Core i5-8300H,2.3 GHz,4 GHz,0.02 / 10
Intel Core i5-8400H,2.5 GHz,4.2 GHz,0.02 / 10
Intel Core i7-8705G,3.1 GHz,4.1 GHz,0.02 / 10
AMD Ryzen 5 3550H,2.1 GHz,3.7 GHz,0.02 / 10
AMD Ryzen 7 3750H,2.3 GHz,4 GHz,0.02 / 10
Intel Core i5-9300HF,2.4 GHz,4.1 GHz,0.02 / 10
Intel Core i7-4900MQ,2.8 GHz,3.8 GHz,0.02 / 10
Intel Core i5-9400H,2.5 GHz,4.3 GHz,0.02 / 10
Intel Core i7-4800MQ,2.7 GHz,3.8 GHz,0.02 / 10
Intel Core i7-4930MX,3 GHz,3.9 GHz,0.02 / 10
Intel Core i7-4810MQ,2.8 GHz,3.8 GHz,0.02 / 10
Intel Core i7-4940MX,3.1 GHz,4 GHz,0.02 / 10
Intel Core i7-5700HQ,2.7 GHz,3.5 GHz,0.02 / 10
Intel Core i3-1220P,1.1 GHz,4.4 GHz,0.01 / 10
Intel Core i5-6300HQ Processor,2.3 GHz,3.2 GHz,0.01 / 10
Intel Core i7-2630QM,2 GHz,2.9 GHz,0.01 / 10
Intel Core i7-2720QM,2.2 GHz,3.3 GHz,0.01 / 10
Intel Core i7-2620M,2.7 GHz,3.4 GHz,0.01 / 10
AMD FX-9800P,2.7 GHz,3.6 GHz,0.01 / 10
Intel Core i7-2820QM,2.3 GHz,3.4 GHz,0.01 / 10
Intel Core i5-2540M,2.6 GHz,3.3 GHz,0.01 / 10
Intel Core i7-2670QM,2.2 GHz,3.2 GHz,0.01 / 10
Intel Core i5-7300HQ Processor,2.5 GHz,3.5 GHz,0.01 / 10
Intel Core i7-2640M,2.8 GHz,3.5 GHz,0.01 / 10
AMD FX-9830P,3 GHz,3.7 GHz,0.01 / 10
Intel Core i7-2760QM,2.4 GHz,3.5 GHz,0.01 / 10
Intel Core i7-3610QM,2.3 GHz,3.3 GHz,0.01 / 10
Intel Core i7-3720QM,2.6 GHz,3.6 GHz,0.01 / 10
Intel Core i7-3612QM,2.1 GHz,3.1 GHz,0.01 / 10
Intel Core i7-3630QM,2.4 GHz,3.4 GHz,0.01 / 10
Intel Core i7-3615QM,2.3 GHz,3.3 GHz,0.01 / 10
Intel Core i7-3632QM,2.2 GHz,3.2 GHz,0.01 / 10
Intel Core i7-3820QM,2.7 GHz,3.7 GHz,0.01 / 10
Intel Core i7-4702MQ,2.2 GHz,3.2 GHz,0.01 / 10
Intel Core i7-4700MQ,2.4 GHz,3.4 GHz,0.01 / 10
Intel Core i7-4700HQ,2.4 GHz,3.4 GHz,0.01 / 10
Intel Core i7-4750HQ,2 GHz,3.2 GHz,0.01 / 10
Intel Core i7-4850HQ,2.3 GHz,3.5 GHz,0.01 / 10
Intel Core i7-4710HQ,2.5 GHz,3.5 GHz,0.01 / 10
Intel Core i7-4712MQ,2.3 GHz,3.3 GHz,0.01 / 10
Intel Core i7-4710MQ,2.5 GHz,3.5 GHz,0.01 / 10
Intel Core i7-4712HQ,2.3 GHz,3.3 GHz,0.01 / 10
Intel Core i3-1125G4,2 GHz,3.7 GHz,0.01 / 10
Intel Core i7-4870HQ,2.5 GHz,3.7 GHz,0.01 / 10
Intel Core i7-4770HQ,2.2 GHz,3.4 GHz,0.01 / 10
Intel Core i7-11390H,3.4 GHz,5 GHz,0.01 / 10
Intel Core i7-4720HQ,2.6 GHz,3.6 GHz,0.01 / 10
Intel Core i7-4702HQ,2.2 GHz,3.2 GHz,0.01 / 10
Intel Core i7-920XM,0 GHz,0 GHz,0.01 / 10
Intel Core i7-4750HQ,1 GHz,1 GHz,0 / 10
M7-6Y75,1.2 GHz,3.1 GHz,0 / 10
Intel Core i7-13620H,2.40 GHz,4.90 GHz,0 / 10
Intel Core i9-13980HK,2.20 GHz,5.60 GHz,0 / 10
Intel Core i7-13850HX,2.10 GHz,5.30 GHz,0 / 10
Intel Core i7-13700HX,2.10 GHz,5.00 GHz,0 / 10
Intel Core i7-13650HX,2.60 GHz,4.90 GHz,0 / 10
Intel Core i5-13600HX,2.60 GHz,4.80 GHz,0 / 10
Intel Core i5-13500HX,2.50 GHz,4.70 GHz,0 / 10
Intel Core i9-13905H,2.60 GHz,5.40 GHz,0 / 10
Intel Core i7-13705H,2.40 GHz,5.00 GHz,0 / 10
Intel Core i5-13600H,2.80 GHz,4.80 GHz,0 / 10
Intel Core i7-1360P,3.70 GHz,5.00 GHz,4.26 / 10
AMD Ryzen 7 5825U,2.00 GHz,4.50 GHz,3.68 / 10
AMD Ryzen 7 6800U,2.7 GHz,4.7 GHz,3.51 / 10
AMD Ryzen 7 7730U,2.00 GHz,4.50 GHz,3.47 / 10
AMD Ryzen 7 7735U,2.7 GHz,4.7 GHz,3.45 / 10
AMD Ryzen 5 7535U,2.90 GHz,4.55 GHz,3.27 / 10
AMD Ryzen 3 7335U,3.00 GHz,4.30 GHz,3.27 / 10
AMD Ryzen 5 7530U,2.00 GHz,4.50 GHz,3.27 / 10
AMD Ryzen 5 6600U,2.9 GHz,4.5 GHz,3.27 / 10
AMD Ryzen 3 7320U,2.40 GHz,4.10 GHz,3.18 / 10
AMD Ryzen 5 7520U,2.80 GHz,4.30 GHz,3.18 / 10
AMD Ryzen 5 5600H,3.3 GHz,4.2 GHz,3.16 / 10
AMD Ryzen 7 5700U,1.80 GHz,4.30 GHz,2.98 / 10
AMD Ryzen 7 PRO 4750U,1.7 GHz,4.1 GHz,2.84 / 10
AMD Ryzen 5 5625U,2.3 GHz,4.3 GHz,2.77 / 10
Intel Core i7-1265U,1.3 GHz,4.8 GHz,2.75 / 10
AMD Ryzen 5 5600U,2.3 GHz,4.2 GHz,2.66 / 10
Intel Core i5-1245U,1.2 GHz,4.4 GHz,2.64 / 10
AMD Ryzen 5 Pro 4680U,2.1 GHz,4 GHz,2.61 / 10
Intel Core i7-1250U,1.1 GHz,4.7 GHz,2.61 / 10
AMD Ryzen 5 5500U,2.1 GHz,4 GHz,2.51 / 10
Apple M2,2.42 GHz,3.48 GHz,2.44 / 10
AMD Ryzen 5 Pro 5650U,2.3 GHz,4.2 GHz,2.43 / 10
AMD Ryzen 5 PRO 4650U,2.1 GHz,4 GHz,2.34 / 10
Intel Core i7-1255U,1.2 GHz,4.7 GHz,2.33 / 10
AMD Ryzen 7 4700U,2 GHz,4.1 GHz,2.2 / 10
AMD Ryzen 5 4600U,2.1 GHz,4 GHz,2.19 / 10
Intel Core i7-10710U,1.1 GHz,4.7 GHz,2.13 / 10
AMD Ryzen 3 Pro 5450U,2.6 GHz,4 GHz,2.07 / 10
Intel Core i5-11320H,3.2 GHz,4.5 GHz,1.98 / 10
AMD Ryzen 5 4500U,2.3 GHz,4 GHz,1.79 / 10
AMD Ryzen 3 5300U,2.6 GHz,3.8 GHz,1.76 / 10
Intel Core i5-1155G7,2.5 GHz,4.5 GHz,1.73 / 10
Intel Core i3-1215U,1.2 GHz,4.4 GHz,1.67 / 10
Intel Core i7-1160G7,2.1 GHz,4.4 GHz,1.64 / 10
Intel Core i5-1135G7,2.4 GHz,4.2 GHz,1.64 / 10
Intel Core i5-1235U,1.3 GHz,4.4 GHz,1.61 / 10
Intel Core i5-1145G7,2.6 GHz,4.4 GHz,1.59 / 10
Intel Core i5-1035G7,1.2 GHz,3.7 GHz,1.43 / 10
AMD Ryzen 5 3580U,2.2 GHz,3.7 GHz,1.39 / 10
Intel Core i7-10510U,1.8 GHz,4.8 GHz,1.36 / 10
AMD Ryzen 7 3700U,2.3 GHz,4 GHz,1.35 / 10
Intel Core i7-1065G7,1.3 GHz,3.9 GHz,1.33 / 10
AMD Ryzen 5 3500U,2.1 GHz,3.7 GHz,1.31 / 10
Intel Core i5-10210U,1.6 GHz,4.2 GHz,1.24 / 10
Intel Core i5-1130G7,1.8 GHz,4 GHz,1.24 / 10
Intel Core i5-1035G1,1 GHz,3.6 GHz,1.22 / 10
Intel Core i5-1035G4,1.1 GHz,3.7 GHz,1.21 / 10
AMD Ryzen 5 3450U,2.1 GHz,3.5 GHz,1.14 / 10
Intel Core i5-1230U,1 GHz,4.4 GHz,1.03 / 10
Intel Core i3-1005G1,1.2 GHz,3.4 GHz,0.81 / 10
AMD Ryzen 3 3250U,2.6 GHz,3.5 GHz,0.71 / 10
Intel Core i3-10110U,2.1 GHz,4.1 GHz,0.65 / 10
Intel Pentium Silver N6000,1.1 GHz,3.3 GHz,0.61 / 10
Intel Pentium Silver N5000,1.1 GHz,2.7 GHz,0.48 / 10
Intel Pentium Silver N5030,2 GHz,3.1 GHz,0.45 / 10
AMD Ryzen 7 2700U,2.2 GHz,3.8 GHz,0.02 / 10
Intel Core i5-8259U,2.3 GHz,3.8 GHz,0.02 / 10
AMD Ryzen 7 PRO 2700U,2.2 GHz,3.8 GHz,0.02 / 10
Intel Core i5-8269U,2.6 GHz,4.2 GHz,0.02 / 10
Intel Core i7-10610U,1.8 GHz,4.9 GHz,0.02 / 10
Intel Core i5-580M,2.66 GHz,3.33 GHz,0.01 / 10
Intel Core i7-6500U,2.5 GHz,3.1 GHz,0.01 / 10
Intel Core i5-6200U,2.3 GHz,2.8 GHz,0.01 / 10
Intel Core i3-6100U,2.3 GHz,0 GHz,0.01 / 10
Intel Core i7-6560U,2.2 GHz,3.2 GHz,0.01 / 10
Intel Core i5-2410M,2.3 GHz,2.9 GHz,0.01 / 10
AMD A10-8780P Extreme,2 GHz,3.3 GHz,0.01 / 10
Intel Core i7-7560U,2.4 GHz,3.8 GHz,0.01 / 10
Intel Core i5-6198DU,2.5 GHz,GHz,0.01 / 10
Intel Core i7-6600U Processor,2.6 GHz,3.4 GHz,0.01 / 10
AMD FX-8800P,2.7 GHz,3.6 GHz,0.01 / 10
Intel Core i5-2520M,2.5 GHz,3.2 GHz,0.01 / 10
Intel Core i7-7500U,2.7 GHz,3.5 GHz,0.01 / 10
Intel Core i5-7200U,2.5 GHz,3.1 GHz,0.01 / 10
AMD A10-9600P,2.4 GHz,3.3 GHz,0.01 / 10
Intel Core i7-6498DU,2.5 GHz,2.5 GHz,0.01 / 10
Intel Core i3-7100U,2.4 GHz,0 GHz,0.01 / 10
AMD Phenom II X4 N950,2.1 GHz,0 GHz,0.01 / 10
Intel Core i5-6360U Processor,2 GHz,3.1 GHz,0.01 / 10
